GeneID	Base mean	log2(FC)	StdErr	Wald-Stats	P-value	P-adj	Chromosome	Start	End	Strand	Feature	Gene name
ENSMUSG00000020932.14	676.646551513906	4.4213054386448	0.14146061760935	31.2546736566246	1.92883433312661e-214	4.03377124086769e-210	chr11	102887335	102900912	-	NA	Gfap
ENSMUSG00000029304.14	751.733807213667	6.32460168390549	0.281884912792205	22.4368222522351	1.72112378676915e-111	1.79969308763516e-107	chr5	104435117	104441050	+	NA	Spp1
ENSMUSG00000026728.9	676.775199006508	4.10377909470737	0.197053763446369	20.8256824073512	2.53292358126034e-96	1.76570102849658e-92	chr2	13573926	13582826	+	NA	Vim
ENSMUSG00000020914.17	310.441268143954	5.82323566177439	0.294044259740531	19.8039426680626	2.75281604187233e-87	1.4392410470919e-83	chr11	98992942	99024189	-	NA	Top2a
ENSMUSG00000019942.13	130.953247444411	5.35390565748335	0.32595133873009	16.4254752821149	1.25695086207592e-60	5.25732267571876e-57	chr10	69335145	69352938	-	NA	Cdk1
ENSMUSG00000001403.13	79.1405826345559	5.33192470413894	0.326243153238376	16.3434072139533	4.84671206524577e-60	1.68932149034141e-56	chr2	164769897	164778822	+	NA	Ube2c
ENSMUSG00000021477.9	1032.38404909148	1.69205290369479	0.105177374456902	16.0876130672775	3.11621819591703e-58	9.30992444731613e-55	chr13	64359336	64370890	-	NA	Ctsl
ENSMUSG00000021091.8	87.016320094127	3.82693443415772	0.238216969487001	16.0649110867249	4.49508491970159e-58	1.17507138657149e-54	chr12	104406728	104414329	+	NA	Serpina3n
ENSMUSG00000020120.15	254.92316616122	3.25137160242419	0.203736249748659	15.9587290255675	2.47724802099161e-57	5.75629865144418e-54	chr11	16971205	17052381	-	NA	Plek
ENSMUSG00000022912.8	371.658114292544	2.25572745562552	0.141553329525249	15.9355308927803	3.59137587874233e-57	7.51064437521384e-54	chr16	62854306	62929346	+	NA	Pros1
ENSMUSG00000030208.15	104.496152663284	3.9285429184776	0.247613102034335	15.8656504288406	1.0957638341981e-56	2.08324627859862e-53	chr6	135362544	135383173	+	NA	Emp1
ENSMUSG00000017716.15	200.258529089794	3.65395532970239	0.23130980837454	15.7968023724522	3.273028508862e-56	5.70407043381925e-53	chr11	117849250	117855743	+	NA	Birc5
ENSMUSG00000021998.16	232.459877029415	3.08365332795641	0.199408107057997	15.4640318964542	6.06786456865375e-54	9.76132705571199e-51	chr14	75131100	75230842	+	NA	Lcp1
ENSMUSG00000046805.10	159.535007230246	3.0942720151798	0.203588024729192	15.1986936328683	3.60743434565386e-52	5.38873389076137e-49	chr19	12460778	12465283	+	NA	Mpeg1
ENSMUSG00000026605.14	95.8202164280765	4.03218356535567	0.267510150765645	15.0730114495285	2.43744755693495e-51	3.08896998218474e-48	chr1	189640605	189688086	-	NA	Cenpf
ENSMUSG00000005413.8	214.912020660983	4.6628029630026	0.30934331166809	15.0732302497801	2.42938712852022e-51	3.08896998218474e-48	chr8	75093620	75100589	+	NA	Hmox1
ENSMUSG00000073418.4	270.126334678766	3.62807768398201	0.240731618981277	15.0710475812659	2.51099745120932e-51	3.08896998218474e-48	chr17	34728379	34743882	-	NA	C4b
ENSMUSG00000039323.18	1042.55662442368	1.91350410370104	0.128812663290338	14.8549378207334	6.46278734660171e-50	7.50868176552675e-47	chr1	72824502	72852474	+	NA	Igfbp2
ENSMUSG00000025534.17	270.89856619361	2.37358002414459	0.160149597524959	14.8210177285939	1.07148646680377e-49	1.17936823580354e-46	chr5	129989010	130003049	-	NA	Gusb
ENSMUSG00000042228.14	146.98362977021	2.52168985724053	0.172257231003125	14.6390943506736	1.58160902002709e-48	1.65380947179132e-45	chr4	3678114	3813122	+	NA	Lyn
ENSMUSG00000060802.8	781.448230323621	1.42905583877263	0.0982020197635149	14.5522041421755	5.65511392663184e-48	5.63168559750723e-45	chr2	122147685	122153083	+	NA	B2m
ENSMUSG00000005087.17	95.9278565077601	3.58491479077202	0.252505826057202	14.1973547571132	9.51362621747714e-46	9.0435665948227e-43	chr2	102811140	102901665	-	NA	Cd44
ENSMUSG00000001131.11	68.541432277587	5.19698052079269	0.366178757880138	14.1924685934235	1.02003767528155e-45	9.27480343615784e-43	chrX	20870165	20874735	+	NA	Timp1
